year,homeTeam,awayTeam,homeGoals,awayGoals,result,homeWinProb,drawProb,awayWinProb,outcomeProb
2014,Arsenal,Man United,0,0,D,0.4522,0.2778,0.2701,0.2778
2014,Arsenal,Man City,1,1,D,0.2701,0.2778,0.4522,0.2778
2014,Swansea,Crystal Palace,1,1,D,0.5267,0.2784,0.1949,0.2784
2014,Swansea,Liverpool,2,2,D,0.2785,0.2785,0.443,0.2785
2014,West Ham,Aston Villa,0,0,D,0.4339,0.2789,0.2871,0.2789
2014,Sunderland,West Ham,1,2,A,0.4248,0.2961,0.2791,0.2791
2014,Sunderland,Norwich,0,0,D,0.4766,0.2791,0.2443,0.2791
2014,Hull,Tottenham,1,1,D,0.2443,0.2791,0.4766,0.2791
2014,Tottenham,Man United,2,2,D,0.3491,0.2793,0.3716,0.2793
2014,Fulham,Crystal Palace,2,2,D,0.3716,0.2793,0.3491,0.2793
2014,Southampton,Man United,1,1,D,0.3716,0.2793,0.3491,0.2793
2014,West Brom,Hull,1,1,D,0.5024,0.2799,0.2177,0.2799
2014,Everton,Tottenham,0,0,D,0.3893,0.2863,0.3244,0.2863
2014,Everton,Liverpool,3,3,D,0.3244,0.2863,0.3893,0.2863
2014,Cardiff,Aston Villa,0,0,D,0.3893,0.2863,0.3244,0.2863
2014,Norwich,Cardiff,0,0,D,0.4428,0.2865,0.2706,0.2865
2014,Swansea,Stoke,3,3,D,0.4878,0.2869,0.2253,0.2869
2014,Aston Villa,Sunderland,0,0,D,0.4878,0.2869,0.2253,0.2869
2014,Man United,Chelsea,0,0,D,0.3983,0.287,0.3148,0.287
2014,West Brom,Everton,1,1,D,0.2789,0.2871,0.4339,0.2871
2014,Norwich,Everton,2,2,D,0.3054,0.2874,0.4072,0.2874
2014,Newcastle,Southampton,1,1,D,0.4072,0.2874,0.3054,0.2874
2014,Sunderland,Fulham,0,1,A,0.425,0.2875,0.2875,0.2875
2014,Newcastle,West Ham,0,0,D,0.425,0.2875,0.2875,0.2875
2014,Cardiff,Swansea,1,0,H,0.2875,0.2875,0.425,0.2875
2014,Fulham,Hull,2,2,D,0.425,0.2875,0.2875,0.2875
2014,Sunderland,Swansea,1,3,A,0.425,0.2875,0.2875,0.2875
2014,Everton,Chelsea,1,0,H,0.2876,0.2963,0.4161,0.2876
2014,West Brom,Aston Villa,2,2,D,0.4549,0.2877,0.2574,0.2877
2014,Cardiff,Everton,0,0,D,0.3011,0.2878,0.4111,0.2878
2014,Arsenal,Chelsea,0,0,D,0.4111,0.2878,0.3011,0.2878
